GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.animation.core,SxmAbstractAnimator,170,540,15,23,50,113,16,20,4,13
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.logging.controllers,LogbackAppenderManager,407,85,25,3,88,27,20,9,7,8
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.logging.controllers,LogbackConfigurationGenerator,18,33,0,0,5,11,1,3,1,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.animation,AnimatorType,9,29,0,0,0,3,2,2,2,2
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.animation,SxmAnimationManager,61,179,6,12,14,35,6,8,1,4
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmGenerationThread,30,321,1,5,7,37,3,5,2,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmTransformationThread,53,339,2,8,14,42,4,6,2,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmGenerator,56,203,1,3,5,27,1,5,0,4
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmTransformer,35,549,2,16,5,84,3,13,1,6
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmTransformationManager,8,80,3,5,2,20,2,4,0,2
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.generation,SxmGenerationManager,0,88,0,8,0,22,0,6,0,2
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.compilation.repast,RepastCompilationManager,10,177,1,5,3,24,1,5,0,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.compilation.sxm.controllers,SxmCompilationController,4,310,2,12,1,41,2,8,0,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.animation.userinterface.console,SxmConsoleAnimator,77,309,5,23,26,75,10,17,5,8
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.logging.logback.appenders,JsxmFileAppender,0,3,0,0,0,1,0,1,0,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.logging.logback.appenders,JsxmConsoleAppender,0,3,0,0,0,1,0,1,0,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.creation.examplescreation,SxmSampleCreationManager,132,319,1,9,13,41,9,12,8,8
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.creation.examplescreation,SxmSampleCreator,84,1933,9,11,16,221,17,29,8,28
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.creation.examplescreation,SxmSampleCreationThread,23,111,1,1,1,24,1,3,0,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool,JSXMFacade.LazyHolder,3,6,0,0,1,1,1,1,1,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool,JSXMFacade,24,303,3,3,7,90,6,19,3,19
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.validation,SxmValidator,34,137,0,0,5,27,0,3,0,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.validation,SxmValidationThread,5,156,0,10,0,26,0,8,0,3
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.validation,SxmValidationManager,157,237,7,13,27,49,9,12,3,8
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.validation,SxmValidationManager.LazyHolder,3,6,0,0,1,1,1,1,1,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.compilation.sxm,SxmCompiler,86,682,6,28,25,116,17,17,11,6
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.compilation.sxm,SxmCompilationManager,130,478,10,30,19,93,9,18,1,6
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.compilation.sxm,SxmCompilationThread,60,361,3,5,16,63,16,18,13,17
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,JSXMThreadPoolFactory,26,130,1,9,5,42,3,23,2,19
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,ThreadPoolType,58,0,0,0,2,0,4,0,4,0
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,JSXM.LazyHolder,3,6,0,0,1,1,1,1,1,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,Specification,300,388,1,1,38,79,22,43,21,43
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,JSXMThreadPoolFactory.LazyHolder,3,6,0,0,1,1,1,1,1,1
jsxm-maven-plugin,org.jsxm.maven.plugin.jsxmtool.core,JSXM,52,123,0,6,22,42,15,24,15,21
